State;Sex;Title;Reward;Description;Link;Additional;Fields of study
California;Male;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
California;Male;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
California;Male;Horatio Alger State Scholarship - California (Making Waves);$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
California;Male;Horatio Alger State Scholarship - Northern California;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
California;Male;Horatio Alger State Scholarship - Southern California;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
California;Male;Latinos in Technology Scholarship;$30,000;The Latinos in Technology Scholarship was established by the Hispanic Foundation of Silicon Valley, a public foundation dedicated to inspiring community philanthropy and engaging people to invest in the educational achievement and leadership development of a thriving Hispanic community in Silicon Valley. This program will give 100 Latino students the support they need to graduate from college, an educational opportunity they would not have access to otherwise. By implementing this program in Silicon Valley, HFSV will be able to directly address the local education gap among Latinos as well as begin to close the high tech employment diversity gap.;https://www.siliconvalleycf.org/scholarships/lit;"
Hispanic";"
Engineering"
California;Male;Italian Catholic Federation;$600;This scholarship is for those living in within the Roman Catholic Dioceses of Arizona, California, Illinois and Nevada and a member of the Italian Catholic Federation.;https://www.icf.org/scholarships/;Generic;Any Major
California;Male;California National Guard Education Assistance Award Program;Varies;If you are an active member in the California National Guard, the State Military Reserve, or the Naval Militia you may be eligible for a state-funded program designed to provide an educational incentive to improve your skills, competencies, and abilities.;;Active Military Duty;Any Major
California;Male;Bobette Bibo Gugliotta Memorial Scholarship for Creative Writing;$1,000;For students majoring in the creative writing field and who have demonstrated creative writing ability.;https://www.siliconvalleycf.org/scholarships/gugliotta;Generic;"
Creative Writing"
California;Male;Cal Grant Competitive Award;Varies;For students who are not eligible for the Cal Grant Entitlement awards.;https://www.csac.ca.gov/post/cal-grant-competitive-awards;Generic;Any Major
California;Male;California Chafee Grant for Foster Youth;$5,000;If you are or were in foster care and have financial need, you may qualify for up to $5,000 a year for career and technical training or college. You don't have to pay this money back. You may also be able to use your grant to help pay for child care, transportation and rent while you're in school. You can use your Chafee Grant at any eligible California college or university or career or technical school, as well as schools in other states.;;Generic;Any Major
California;Male;Child Development Grant Program;Varies;The Child Development Grant Program (Program) is a need-based grant designed to encourage students to enter the field of child care and development in a licensed children's center.;https://www.csac.ca.gov/financial-aid-programs;Generic;Any Major
California;Male;Krishnan Shah Scholarship;$40,000;This scholarship program seeks to support financially needy students with academic potential and demonstrated community involvement, and provide meaningful and ongoing financial support to ensure that students complete their undergraduate degree.;https://www.siliconvalleycf.org/scholarships/krishnan;Generic;Any Major
California;Female;"TALLO'S $1,000 ""DIVERSITY AND INCLUSION"" SCHOLARSHIP";$1,000;As Tallo continues to work with colleges and companies who are prioritizing diversity and inclusion, know that your voice is a key component. We encourage you to share your experiences in this scholarship application but know that your responses will be completely anonymous. Be sure to follow us on Instagram at @AppTallo where we will announce the winner!;https://tallo.com/niche-scholarship/;Generic;Any Major
California;Female;$1,000 Easy Scholarship: Fill Out An Easy Pledge to Vote!;$1,000;You could win an easy $1,000 scholarship by filling out our easy pledge to vote this November. All you have to do is share why you plan on voting this fall. It takes less than 2 minutes! Fill out the online pledge form to automatically enter to win a $1,000 scholarship. Only applicable for 18 to 25 year olds. Let's Do This.;https://vote.dosomething.org/pledge?&utm_source=scholarship_featured&utm_medium=referral&utm_campaign=niche_2020_9;Generic;Any Major
California;Female;Horatio Alger State Scholarship - California (Making Waves);$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
California;Female;Horatio Alger State Scholarship - Northern California;$10,000;The Horatio Alger Association, through the generosity of its members, provides aid to students in all states who have displayed integrity and perseverance in overcoming adversity.;;Generic;Any Major
